City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Mackay,AU,-21.15,149.2,82.99,74,0,5.75,clear sky
200,Yamada,JP,39.4667,141.95,55.31,75,100,13.85,overcast clouds
201,Nsanje,MW,-16.92,35.262,72.18,97,100,2.33,moderate rain
202,Moose Factory,CA,51.2585,-80.6094,26.6,68,1,6.91,clear sky
203,Boffa,GN,10.1667,-14.0333,75.25,85,10,3.04,clear sky
204,Komsomolskiy,UZ,40.4272,71.7189,53.6,87,75,2.3,mist
205,Kangaatsiaq,GL,68.3065,-53.4641,-15.36,86,68,6.91,broken clouds
206,Hun,LY,29.1268,15.9477,55.89,39,1,7.83,clear sky
207,Sawtell,AU,-30.3833,153.1,78.8,47,0,9.22,clear sky
208,Kaitangata,NZ,-46.2817,169.8464,66.0,75,100,5.01,light rain
209,Port Macquarie,AU,-31.4333,152.9167,79.0,54,3,1.99,clear sky
210,Polyarnyy,RU,69.1989,33.4478,41.0,75,75,6.71,broken clouds
211,Puerto Escondido,MX,15.85,-97.0667,84.2,79,1,3.44,clear sky
212,Ibateguara,BR,-8.9725,-35.9394,75.2,94,75,3.44,light rain
213,Isangel,VU,-19.55,169.2667,82.4,78,20,5.75,few clouds
214,Longyearbyen,SJ,78.2186,15.6401,28.4,74,75,29.93,snow
215,Aonla,IN,28.2833,79.15,68.99,20,0,1.74,clear sky
216,Canelones,UY,-34.6444,-56.2886,69.8,83,75,6.91,broken clouds
217,Effingham,US,32.3669,-81.3332,78.8,69,1,3.44,clear sky
218,Strzelin,PL,50.7816,17.0648,39.2,75,0,9.22,clear sky
219,Hambantota,LK,6.1241,81.1185,77.05,78,85,4.21,overcast clouds
220,Weligama,LK,5.9667,80.4167,76.51,84,100,1.74,overcast clouds
221,Jinxiang,CN,27.4327,120.6062,61.41,93,65,8.3,light rain
222,Provideniya,RU,64.3833,-173.3,3.16,91,100,5.37,overcast clouds
223,Burns Lake,CA,54.2331,-125.7533,41.0,56,100,4.61,overcast clouds
224,Farah,AF,32.5,62.5,74.68,16,66,7.45,broken clouds
225,Vila Velha,BR,-20.3297,-40.2925,78.8,78,0,3.44,clear sky
226,Washim,IN,20.1,77.15,78.42,16,0,4.29,clear sky
227,Akyab,MM,20.15,92.9,76.01,47,99,4.94,overcast clouds
228,Alofi,NU,-19.0595,-169.9187,84.2,79,17,14.97,light rain
229,Emerald,AU,-23.5333,148.1667,82.0,65,8,6.91,clear sky
230,Carora,VE,10.1755,-70.0827,78.3,55,100,11.48,overcast clouds
231,Tarauaca,BR,-8.1614,-70.7656,74.88,89,92,1.81,overcast clouds
232,Richards Bay,ZA,-28.783,32.0377,69.73,83,81,18.57,light rain
233,Tanout,NE,14.9709,8.8879,65.59,19,2,13.29,clear sky
234,Kavieng,PG,-2.5744,150.7967,84.94,70,100,15.9,overcast clouds
235,Georgetown,MY,5.4112,100.3354,80.6,94,20,4.65,few clouds
236,Linfen,CN,36.0889,111.5189,59.23,39,31,1.54,scattered clouds
237,Yacuiba,BO,-22.038,-63.6797,57.47,86,100,5.17,overcast clouds
238,Edgewater,US,28.9889,-80.9023,75.99,83,1,14.97,clear sky
239,Quang Ngai,VN,15.1167,108.8,73.69,84,100,5.32,overcast clouds
240,Coihaique,CL,-45.5752,-72.0662,57.2,77,75,4.61,broken clouds
