City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Yabassi,CM,78.8,few clouds,4.457,9.9682,MOTEL FOMI
392,Ilheus,BR,80.6,few clouds,-14.7889,-39.0494,Barravento Hotel
396,Pandan,PH,80.26,broken clouds,14.0453,124.1694,Bonifacio Lodge
397,Uarini,BR,77.0,moderate rain,-2.99,-65.1083,
400,Sur,OM,81.52,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
403,Sarangani,PH,81.37,very heavy rain,5.4033,125.4636,Ballistic Islet
407,Gizo,SB,85.03,broken clouds,-8.103,156.8419,Imagination Island
408,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
410,Barranco,PA,78.8,few clouds,9.5167,-82.7,Casa doña Delfina Jiménez
411,Sabang,ID,82.06,overcast clouds,5.8933,95.3214,Hotel Citra
412,Bambanglipuro,ID,78.55,broken clouds,-7.95,110.2833,Puri Brata
413,Thinadhoo,MV,82.17,overcast clouds,0.5333,72.9333,
414,Kavaratti,IN,82.42,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
415,Zaranj,AF,80.71,clear sky,30.9667,61.8833,غزنوی هوتل
416,Boromo,BF,86.65,few clouds,11.75,-2.9333,Sama Camp
419,Adrar,MR,77.83,clear sky,20.5022,-10.0711,
420,Alice Springs,AU,77.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
423,Manggar,ID,79.74,broken clouds,-2.8833,108.2667,Guest Hotel
428,Celestun,MX,85.87,scattered clouds,20.8667,-90.4,Posada Lilia
430,Sai Buri,TH,77.18,clear sky,6.7013,101.6168,ร้าน​ เวดดิ้ง
431,Ahuimanu,US,82.4,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
432,Lamu,KE,80.6,scattered clouds,-2.2717,40.902,Lamu House
434,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
440,Luangwa,ZM,70.43,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
441,Yokadouma,CM,72.18,scattered clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
445,Sola,VU,83.12,scattered clouds,-13.8833,167.55,Leumerus Bungalows
453,Ocho Rios,JM,79.0,few clouds,18.4025,-77.1048,Rooms Ocho Rios Hotel
456,Keelung,TW,75.99,few clouds,25.1283,121.7419,East Coast Star Boutique Hotel
458,Inhambane,MZ,71.55,clear sky,-23.865,35.3833,Oceano
460,Contamana,PE,75.45,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
462,Port Blair,IN,80.82,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
463,Wang Noi,TH,84.2,few clouds,14.2269,100.7155,วังน้อยรีสอร์ท
467,Takaungu,KE,77.0,broken clouds,-3.6837,39.8566,Takaungu House
468,Kieta,PG,83.62,light rain,-6.2167,155.6333,Uruna Bay Retreat
